EMPIRE_BM_TECH_1,帝国テクノロジーレベル 1 で入手可能な闇市場アイテムです。
TEXT_PLANET_MANAAN_INFO_POP,セルカス
TEXT_PLANET_MANAAN_INFO_TAC,回復薬コルトがあるため、 歩兵は自動的に回復する。
TEXT_PLANET_MANAAN_INFO_TER,海
TEXT_PLANET_MANAAN_INFO_WEA,晴天、 雨
TEXT_PLANET_MANAAN_INFO_WL,なし
TEXT_PLANET_MANDALORE_ENCYC,生産価格の短縮 ( マンダロリアン・ユニット ) : マンダ・ハイパーノータィクス社の存在により、 マンダロリアン・ユニット ( スターバイパー飛行隊、 クルセーダー級ガンシップ、 ケルデベ級バトルシップ、 キャンデラス・アサルト・タンク ) のコストが減少する。
TEXT_PLANET_MANDALORE_INFO_ADV,生産価格の短縮 ( マンダロリアン・ユニット )
TEXT_PLANET_MANDALORE_INFO_HIS,外縁に位置する危険なジャングルの惑星、 マンダロアは、 謎のウォーロード・マンダロアに率いられた、 仮面をつけた凶暴な戦士の氏族の故郷であった。 致命的だが誉れ高い十字軍で構成されたそれらの氏族は、 準知的なバシリスク・ウォー・ドロイドに乗り、 最先端の武器を誇り、 銀河系で最高の戦士とみなされていた。 マンダロアの仮面と称号は特定の個人に属するものではなく、 伝統的に指導者の死の際に一人の戦士から次の戦士へと受け継がれた。 マンダロリアンたちは散り散りになっており、 その正確な数は不明である。 彼らの精鋭部隊はほとんど消滅し、 マンダロリアン氏族の時を超えて受け継がれてきた軍事的伝統を維持しているのは、 ごくわずかであるとしか知られていない。
TEXT_PLANET_MANDALORE_INFO_POP,マンダロリアン
TEXT_PLANET_MANDALORE_INFO_TAC,マンダ・ハイパーノータィクス社の存在により、 マンダロリアン・ユニット ( スターバイパー、 クルセーダー、 ケルデベ、 キャンデラス ) のコストが減少する。
TEXT_PLANET_MANDALORE_INFO_TER,森、 ジャングル、 砂漠
TEXT_PLANET_MANDALORE_INFO_WEA,雨
TEXT_PLANET_MANDALORE_INFO_WL,ストリルズ、 ロールズ
TEXT_PLANET_MONCALAMARI_ENCYC,生産費用の削減 ( 主力艦 ) : モン・カラマリでは原材料と軌道上造船所が利用できるため、 主力級艦船の費用が削減される。 モン・カラマリは、 反乱軍を援助してくれることがある。
TEXT_PLANET_MONCALAMARI_ENCYC_01,この惑星が支配されている間は、 モン・カラマリ・クルーザーの生産費用が、 どの惑星でも 20% 安くなる。
TEXT_PLANET_MONCALAMARI_INFO_ADV,生産費用の削減: 主力級艦船
TEXT_PLANET_MONCALAMARI_INFO_ADV_01,生産性の向上 ( モン・カラマリ・クルーザー )
TEXT_PLANET_MONCALAMARI_INFO_HIS,アウター・リムに位置し、 ほぼ全域が水で覆われている惑星、 モン・カラマリ ( ただカラマリと呼ばれることもある ) には、 小さな湿地の島々と巨大な海上都市が点在している。 ここの建築や海上都市のデザインは、 曲線や不揃いの面を多用した有機的な外見をしており、 自分たちの世界の自然美への愛情が表現されている。 モン・カラマリには、 平和を愛するモン・カラマリと、 警戒心の強いクォレンをあわせた 270 億以上の居住者が生活している。 クォレンが海深くの天然資源を採掘し、 それをモン・カラマリが浮遊都市や軌道上の造船所において、 様々な建設プロジェクトに利用する。
TEXT_PLANET_MONCALAMARI_INFO_HIS_01,アウター・リムに位置し、 ほぼ全域が水で覆われている惑星、 モン・カラマリ ( ただカラマリと呼ばれることもある ) には、 小さな湿地の島々と巨大な海上都市が点在している。 モン・カラマリには、 平和を愛するモン・カラマリと、 警戒心の強いクォレンをあわせた 270 億以上の居住者が生活している。 クォレンが海深くの天然資源を採掘し、 それをモン・カラマリが浮遊都市や軌道上の造船所において、 様々な建設プロジェクトに利用する。
TEXT_PLANET_MONCALAMARI_INFO_POP,モン・カラマリ、 クォレン
TEXT_PLANET_MONCALAMARI_INFO_TAC,モン・カラマリでは原材料と軌道上造船所が利用できるため、 主力級艦船の費用が削減される。
TEXT_PLANET_MONCALAMARI_INFO_TER,海、 島
TEXT_PLANET_MONCALAMARI_INFO_WEA,晴天、 雨
TEXT_PLANET_MONCALAMARI_INFO_WL,クラカーナ、 シー・スラッグ、 チョーン、 ランプフィッシュ、 ホエーラドン
TEXT_PLANET_MUSTAFAR_ENCYC,生産時間の短縮 ( 大型艦 ) : この惑星を支配している間、 大型艦の建設時間は 25% 短縮される。
TEXT_PLANET_MUSTAFAR_INFO_ADV,生産時間の短縮 ( 大型艦 )
TEXT_PLANET_MUSTAFAR_INFO_HIS,外縁に位置する小さな惑星ムスタファは、 不安定な地質を持つ火の惑星であり、 鉱物に富んだ溶岩の火山川が流れている。 この惑星の火山的な性質と不安定な地質により、 ムスタファはほとんど居住不能であり、 生命もほとんど存在しない。 しかし、 鉱夫たちはこれらの苦難にもかかわらず、 貴重な天然資源を採掘するためにこの惑星に入植した。 噴火する火山の終末的な風景の中で、 ジェダイ・マスターのオビ＝ワン・ケノービは、 かつての弟子であり友人であったアナキン・スカイウォーカー ( 現在は邪悪なシスの主ダース・ベイダーとなった ) と対峙し、 彼を倒した。
TEXT_PLANET_MUSTAFAR_INFO_POP,ムスタファ人
TEXT_PLANET_MUSTAFAR_INFO_TAC,この惑星を支配している間、 大型艦の建設時間は 25% 短縮される。
TEXT_PLANET_MUSTAFAR_INFO_TER,火山
TEXT_PLANET_MUSTAFAR_INFO_WEA,灰の雨
TEXT_PLANET_MUSTAFAR_INFO_WL,ラバ・フリース、 ブリストモック
TEXT_PLANET_MUUNILINST_ENCYC,高いクレジット価値: この惑星は平均以上のクレジット生産率を誇る。
TEXT_PLANET_MUUNILINST_INFO_HIS,外縁に位置するムーニルインストの地形は、 草の平原と都市を伴う山岳地帯である。 銀河系で最も裕福な世界の一つであるムーニルインストは、 インターギャラクティック・バンキング・クランの故郷であり、 帝国の金融の中心地であった。 公式にはムーニルインストと名付けられたこの惑星は、 非公式には多くの人々にマネーレンドとして知られていた。 地元のムーンたちは、 銀河の中心部から離れているにもかかわらず、 この世界を巨大な商業の中心地に変えた。 ムーニルインストの風格ある都市は、 輝く大理石の建造物が支配している。 ムーンの建築のいたる所に、 柱、 柱頭、 渦巻き、 アクロテリア、 そしてエンタブラチュアを見ることができる。 これらの古典的な建造物は、 稀ではあるが壊滅的な戦争によって損なわれることがあった。
TEXT_PLANET_MUUNILINST_INFO_POP,ムーン
TEXT_PLANET_MUUNILINST_INFO_TER,温帯
TEXT_PLANET_MUUNILINST_INFO_WEA,雨
TEXT_PLANET_MUUNILINST_INFO_WL,ドラゴンビースト
TEXT_PLANET_MYRKR_ENCYC,力の否定: イサラミリの濃度が高いため、 惑星の一部ではフォースの能力が機能しない可能性がある。 ザン・コンソーシアムがヴォーンスクルを建設することを可能にする。
TEXT_PLANET_MYRKR_INFO_ADV,力の否定
TEXT_PLANET_MYRKR_INFO_HIS,ミルクルは内縁に位置する孤立した惑星であるが、 密輸業者や法を犯す者にしか知られていない。 この惑星は、 センサーの読み取りを信頼できなくさせる高濃度の金属を含む木々で覆われた森林で覆われている。 ミルクルは 300 年前に入植され、 共和国と帝国の間のボーダーランド地域に位置しているが、 旧共和国とジェダイ・ナイトの両方から忌み嫌われてきた。 ジェダイの歴史的な嫌悪は、 ミルクルの固有の生命体の一つである樹上のイサラミリによるものであった。 これらの生物は、 自分たちからフォースを押し出す防御メカニズムを進化させており、 多くのイサラミリが集まることで、 フォースが存在しない広大な領域を作り出すことができる。
TEXT_PLANET_MYRKR_INFO_POP,人間
TEXT_PLANET_MYRKR_INFO_TAC,イサラミリの濃度が高いため、 惑星の一部ではフォースの能力が機能しない可能性がある。 ザン・コンソーシアムがヴォーンスクルを建設することを可能にする。
TEXT_PLANET_MYRKR_INFO_TER,森
TEXT_PLANET_MYRKR_INFO_WEA,雨
TEXT_PLANET_MYRKR_INFO_WL,イサラミリ、 ヴォーンスクル
TEXT_PLANET_NABOO_ENCYC,支配への抵抗 ( 帝国軍 ) : ナブーは皇帝に反抗しているため、 帝国軍基地の規模が制限される。 グンガンは、 反乱軍を援助してくれることがある。
TEXT_PLANET_NABOO_ENCYC_01,この惑星が所有されている間、 銀河系内のすべての T4-Bタンク には 25% のダメージ・ボーナスが与えられる。
TEXT_PLANET_NABOO_INFO_ADV,支配への抵抗: 帝国
TEXT_PLANET_NABOO_INFO_ADV_01,T4-B のダメージ ( 銀河系内 )
TEXT_PLANET_NABOO_INFO_HIS,ミッド・リムのチョムメル・セクターにある温暖な惑星ナブーは、 深い沼地、 なだらかな平原、 そして緑の丘に覆われている星だ。 他の惑星とは違い、 ナブーにはマントル状の核が存在せず、 代わりに水分に満ちた巨大な蜂の巣状の構造体を惑星内部に有している。 数々の動物種が生息するナブーには、 平和を好むナブー人と、 より戦闘的な性格のグンガンが居住している。 ナブー人はシードなどの美しい都市で生活するが、 グンガンは湖や沼の奥深くに潜む、 水泡が浮かぶ風変わりな町で暮らしている。 ナブーもグンガンも、 皇帝には反対の意思を示している。
TEXT_PLANET_NABOO_INFO_HIS_01,深い沼、 なだらかな平原、 そして緑の丘に覆われるナブー。 他の惑星とは違い、 ナブーにはマントル状の核が存在せず、 代わりに水分に満ちた巨大な蜂の巣状の構造体を惑星内部に有している。 数々の動物種が生息するナブーには、 平和を好むナブー人と、 より戦闘的な性格のグンガンが居住している。 ナブー人はシードなどの美しい都市で生活するが、 グンガンは湖や沼の奥深くに潜む、 水泡が浮かぶ風変わりな町で暮らしている。
TEXT_PLANET_NABOO_INFO_POP,ナブー、 グンガン
TEXT_PLANET_NABOO_INFO_TAC,ナブーは皇帝に反抗しているため、 帝国軍基地の規模が制限される。
TEXT_PLANET_NABOO_INFO_TER,草地、 沼地
TEXT_PLANET_NABOO_INFO_WEA,晴天、 雨
TEXT_PLANET_NABOO_INFO_WL,カドゥ、 ファランパセット、 ファンバ、 シャク、 コロ・クロー・フィッシュ、 任務・キャット
TEXT_PLANET_NALHUTTA_ENCYC,闇取引の影響: ハットの犯罪活動の影響で、 惑星の収入は常に変動する。 一般的にハットは、 すべての勢力と敵対している。
TEXT_PLANET_NALHUTTA_ENCYC_02,懸賞: この惑星を支配している間、 ハット・カルテルのおかげで、 破壊されたすべてのザン・コンソーシアム・ユニットに 15% の懸賞が付与される。
TEXT_PLANET_NALHUTTA_INFO_ADV,闇取引
TEXT_PLANET_NALHUTTA_INFO_ADV_00,懸賞
TEXT_PLANET_NALHUTTA_INFO_HIS,ミッド・リムのイタウヴ星系に位置し、 あざがついたような緑と青と茶色をした惑星、 ナル・ハッタ。 ハット語で 「 輝ける宝石 」 という意味を持つこの惑星は、 かつては山々と熱帯雨林に包まれた美しい星であった。 ここにはもともとイヴォーカイが生活していたのだが、 ヴァールからこの地に移り住んだハットはイヴォーカイを追放すると、 この星を陰鬱な世界へと変え、 今では異臭を放つ沼地、 淀んだ膜が張る池、 そして虫やクモが巣食う不快な沼地にすっかり変貌してしまった。 大気は露天採鉱の影響で汚染され、 脂ぎった雨が不法占拠者の暮らす集落やスラム街に降り注ぐ。 ハットは、 銀河中であらゆる犯罪活動を展開している。
TEXT_PLANET_NALHUTTA_INFO_HIS_01,ハット語で 「 輝ける宝石 」 という意味を持つナル・ハッタは、 かつては山々と熱帯雨林に包まれた美しい惑星であった。 この星にはもともとイヴォーカイが生活していたのだが、 ヴァールからこの地に移り住んだハットはイヴォーカイを追放すると、 この星を陰鬱な世界へと変えた。 今では異臭を放つ沼地、 淀んだ膜が張る池、 そして虫やクモが巣食う不快な沼地にすっかり変貌してしまった。 大気は露天採鉱の影響で汚染され、 脂ぎった雨が不法占拠者の暮らす集落やスラム街に降り注ぐ。
TEXT_PLANET_NALHUTTA_INFO_POP,ハット
TEXT_PLANET_NALHUTTA_INFO_TAC,ハットの犯罪活動の影響で、 惑星の収入は常に変動する。
TEXT_PLANET_NALHUTTA_INFO_TAC_00,この惑星を支配している間、 ハット・カルテルのおかげで、 破壊されたすべてのザン・コンソーシアム・ユニットに 15% の懸賞が付与される。
TEXT_PLANET_NALHUTTA_INFO_TER,沼地、 腐敗した都市地帯
TEXT_PLANET_NALHUTTA_INFO_WEA,汚染、 雨
TEXT_PLANET_NALHUTTA_INFO_WL,トランダ・ティル、 その他各種エイリアン
TEXT_PLANET_POLUS_INFO_ADV,高額クレジット
TEXT_PLANET_POLUS_INFO_ENCYC,高額クレジット: カーボナイトの採掘により、 追加収入が得られる。
TEXT_PLANET_POLUS_INFO_HIS,アウター・リムの連星アヴィンディアの周りをひっそりと回るポーラスは、 山に囲まれた極寒の惑星。 たった 1 つ存在する巨大な海も、 完全に凍った状態だ。 日中の平均気温は氷点下 8 度で、 ブリザードやアイス・ストームが頻繁に起こる。 ただ、 短期間だが両方の太陽から光を受けて気温が上昇する時期がある。 ポーラスに住むのは、 熱力学に精通したピンガニである。 彼らの都市や居住環境は発熱体のネットワークで覆われ、 極寒から守られている。 ピンガニは、 商品を長期間輸送する際の保管手段であるカーボナイト冷却処理の開発に重要な役割を果たした。 この貴重な金属の採掘は、 今も彼らの主な収入源となっている。
TEXT_PLANET_POLUS_INFO_HIS_01,ポーラスは、 山に囲まれた極寒の惑星。 たった 1 つ存在する巨大な海も、 完全に凍った状態だ。 ブリザードやアイス・ストームにしばしば見舞われるこの星にも、 短いものの、 両方の太陽から光を受けて気温が上昇する時期がある。 この地で生活をするのはピンガニ。 彼らの都市や居住環境は発熱体のネットワークで覆われ、 極寒から守られている。 ピンガニは、 カーボナイトの冷却処理の開発に重要な役割を果たした。 この貴重な金属の採掘は、 今も彼らの主な収入源となっている。
TEXT_PLANET_POLUS_INFO_POP,ピンガニ
TEXT_PLANET_POLUS_INFO_TAC,カーボナイトの採掘により、 追加収入が得られる。
TEXT_PLANET_POLUS_INFO_TER,山地、 点在する都市
TEXT_PLANET_POLUS_INFO_WEA,ブリザード、 アイス・ストーム
TEXT_PLANET_POLUS_INFO_WL,ドラールク・アイス・ワーム、 その他各種水生生物
TEXT_PLANET_RALLTIIR_ENCYC,生産費用の削減 ( すべての地上ユニット ) : ラルティアの産業の影響で、 すべての地上ユニットの費用が削減される。
TEXT_PLANET_RALLTIIR_INFO_ADV,生産費用の削減: すべての地上ユニット
TEXT_PLANET_RALLTIIR_INFO_HIS,同盟の星系に属し、 コア・ワールドのダーパ・セクター内のパーレミアン交易ルート沿いにあるのがラルティアだ。 ちょうどコロニー界の境界上に位置するこの惑星の表面には、 広大な都市、 山々、 湿地などが点在している。 ラルティアはダーパ・セクターの数々の星の中で、 エッセレスという近隣の惑星から過去数百年にわたって独立体制を維持できた唯一の惑星だった。 近年では、 ラルティアは魅力的なハイテク惑星として知られるようになっている。 また、 この星の金融産業も注目を集めており、 グラリア宇宙港の所在地としても有名である。 ラルティアはあらゆる種類の企業を誘致しているため、 ここでは多くの製品の原価を削減することができる。
TEXT_PLANET_RALLTIIR_INFO_POP,人間
TEXT_PLANET_RALLTIIR_INFO_TAC,ラルティアの産業の影響で、 すべての地上ユニットの費用が削減される。
TEXT_PLANET_RALLTIIR_INFO_TER,広大な都市、 山、 湿地
TEXT_PLANET_RALLTIIR_INFO_WEA,晴天、 雨
TEXT_PLANET_RALLTIIR_INFO_WL,ラルティア・タイガー
TEXT_PLANET_RATTATAK_ENCYC,生産価格の短縮 ( 傭兵 ) : 傭兵の価格が 50% 減少する。
TEXT_PLANET_RATTATAK_INFO_ADV,生産価格の短縮
TEXT_PLANET_RATTATAK_INFO_HIS,外縁の遥か彼方に、 血の雫のように浮かぶ小さく赤い惑星、 ラタタク。 この惑星は非常に辺境にあるため、 旧共和国には発見されず、 地元の人間型の種族は他の銀河の勢力の指導や影響を受けることなく進化を遂げた。 惑星上の散在する資源は生き残りのための闘争を引き起こし、 ラタタキ人たちは互いの間での物々交換や貿易の利点などには目もくれなかった。 技術が進化するにつれ、 ラタタキ人は戦争のためのより残酷な手法に全力を注いだが、 世代を越えた戦闘の末、 惑星のほとんどの都市は瓦礫となり、 人口の大部分が大量虐殺の犠牲となった。
TEXT_PLANET_RATTATAK_INFO_POP,ラタタキ人
TEXT_PLANET_RATTATAK_INFO_TAC,生産価格の短縮 ( 傭兵 )
TEXT_PLANET_RATTATAK_INFO_TER,砂漠
TEXT_PLANET_RATTATAK_INFO_WEA,快晴
TEXT_PLANET_RATTATAK_INFO_WL,なし
TEXT_PLANET_RHINNAL_ENCYC,戦略的な自動回復 ( 歩兵 ) : リナルは医療技術に通じているため、 歩兵は自動的に回復する。
TEXT_PLANET_RHINNAL_INFO_ADV,戦略的な自動回復: 歩兵
TEXT_PLANET_RHINNAL_INFO_HIS,コア・ワールドのダーパ・セクター内にあり、 パーレミアン交易ルート沿いに位置するこの惑星は、 地質学的にいえば、 最近になってようやく氷河時代からその姿をあらわしたところである。 リナルの地表はフィヨルド、 山、 そして凍てつくような川に覆われている。 この星の人口 5500 万の住民は、 儀式や記念祝典に大きな価値をおいており、 しばしば手の込んだ色とりどりの衣装に身を包む。 リナルは医療技術に通じていることで有名で、 バイオスキャン・スキャナーは、 名声高いリナル国立医学アカデミーの研究技術者によって開発された。 コア・ワールドで唯一残っているジェダイ会館もここリナルにあり、 今でも患者を受け入れているが、 ジェダイのスタッフは一人もいない。
TEXT_PLANET_RHINNAL_INFO_POP,人間
TEXT_PLANET_RHINNAL_INFO_TAC,リナルは医療技術に通じているため、 歩兵は自動的に回復する。
TEXT_PLANET_RHINNAL_INFO_TER,山、 川、 フィヨルド、 広大な都市
TEXT_PLANET_RHINNAL_INFO_WEA,晴天、 雨
TEXT_PLANET_RHINNAL_INFO_WL,ファイアヘッド、 テンティクロン
TEXT_PLANET_ROTHANA_ENCYC,ブラック・マーケットの影響
TEXT_PLANET_ROTHANA_INFO_ADV,闇取引
TEXT_PLANET_ROTHANA_INFO_HIS,アウター・リムにあるロザナは、 近接するカミーノとはほぼ正反対の性質を持つ。 この惑星は、 ほとんどが岩がちの不毛の荒野と山々で、 比較的気候は穏やかである。 人口の大半は地表にそって広がる都市に住みながら、 クワット・ドライブ・ヤードの子会社でロザナ経済の原動力でもある 「 ロザナ・ヘヴィ・エンジニアリング ( RHE ) 」 の請負会社で働いている。 一方、 残りの人々は地下や惑星上空の軌道上に住み、 RHE が各地に保有する地下工場や、 軌道上の造船所で仕事をしている。 造船所で生産される様々な種類の艦船や戦闘車両の中には、 帝国が使用していることで知られる最大級の地上用兵器も含まれる。
TEXT_PLANET_ROTHANA_INFO_POP,人間 ( ロザナン )
TEXT_PLANET_ROTHANA_INFO_TAC,ロザナ・ヘヴィ・エンジニアリング社があるおかげで、 重量戦闘車両は短期間で生産できる。
TEXT_PLANET_ROTHANA_INFO_TER,都市、 岩の多い不毛の荒野、 山
TEXT_PLANET_ROTHANA_INFO_WEA,晴天、 雨
TEXT_PLANET_ROTHANA_INFO_WL,なし
TEXT_PLANET_RYLOTH_ENCYC,警告: トワイレックの文化により、 マイナー・ヒーローは自動的に探知され抹殺される。 トワイレックは、 友好的な部隊を援助してくれることがある。
TEXT_PLANET_RYLOTH_ENCYC_01,この惑星が所有されている間、 銀河系内のすべてのストームトルーパーには、 35% のヘルス・ボーナスが与えられる。
TEXT_PLANET_RYLOTH_INFO_ADV,警告
TEXT_PLANET_RYLOTH_INFO_ADV_01,スタミナの向上
TEXT_PLANET_RYLOTH_INFO_HIS_01,山地の多いライロスは、 自転速度が非常に遅く、 太陽を回る公転周期に等しくなっている。 そのため、 恒星の片側は常に太陽を向いていることになり、 居住に適した地域は、 太陽が当たらない側との境界にあたる帯状の地帯に限られている。 この星の山岳地帯に地下通路を張り巡らせて生活しているのが、 トワイレックである。 彼らの文化は極めて社会的であり、 惑星上で常に変化する様々な情報について交換し合う。
TEXT_PLANET_RYLOTH_INFO_HIST,アウター・リムのタトゥイーン近くに位置し、 トワイレックの故郷でもあるライロスは、 ライロス星系の主惑星だ。 山地の多いライロスの自転速度はとても遅く、 恒星を回る公転周期に等しくなっている。 そのため、 恒星の片側は常に太陽を向いていることになり、 居住に適した地域は、 太陽が当たらない側との境界にあたる帯状の地帯に限られている。 ライロスの大気は薄いが、 熱風が吹いているため、 この帯状地帯にも暖かさがゆきわたる。 この星の山岳地帯に地下通路を張り巡らせて生活しているのが、 トワイレックである。 トワイレックはヒューマノイド種族の一種で、 彼らの頭部からは 2 本の大きな肉厚の尻尾状の触手が伸びている。 彼らの文化は極めて社会的であり、 惑星上で常に変化する様々な情報について交換し合う。
TEXT_PLANET_RYLOTH_INFO_POP,トワイレック
TEXT_PLANET_RYLOTH_INFO_TAC,トワイレックの文化により、 マイナー・ヒーローは自動的に探知され抹殺される。
TEXT_PLANET_RYLOTH_INFO_TER,山、 砂漠、 ツンドラ
TEXT_PLANET_RYLOTH_INFO_WEA,晴天、 熱風
TEXT_PLANET_RYLOTH_INFO_WL,ライレック
TEXT_PLANET_SALEUCAMI_ENCYC,武器の強化 ( インターセプター / MC30c ) : この惑星を支配している間、 インターセプター IV フリゲートおよび MC30c フリゲートは 25% のダメージボーナスを得る。
TEXT_PLANET_SALEUCAMI_INFO_ADV,武器の強化 ( インターセプター / MC30c )
TEXT_PLANET_SALEUCAMI_INFO_HIS,奇妙な球状の植物に覆われた荒れ果てた世界、 サルカミは大部分が砂漠の惑星であり、 その名前 ( ウロニアン語で 「 オアシス 」 と訳される ) は極めて皮肉である。 この名前は、 死の惑星と無作為な隕石が漂う過酷な系の中で唯一居住可能な惑星であることに由来する。 これらの逸れた岩石は定期的にサルカミの軌道と交差し、 巨大なクレーターを残すほどの威力で惑星に衝突する。 地熱ベントによって加熱された耕作可能な土壌を持つこれらのクレーターは、 サルカミに建設された最初の入植地の場所となった。 この惑星には固有の知的な生命体は存在しないが、 ウィーケイ、 グラン、 ウロニアン、 トイ・レックスを含むオフワールドの文化の混合がサルカミを故郷としている。
TEXT_PLANET_SALEUCAMI_INFO_POP,なし
TEXT_PLANET_SALEUCAMI_INFO_TAC,この惑星を支配している間、 インターセプター IV フリゲートおよび MC30c フリゲートは 25% のダメージボーナスを得る。
TEXT_PLANET_SALEUCAMI_INFO_TER,砂漠
TEXT_PLANET_SALEUCAMI_INFO_WEA,快晴
TEXT_PLANET_SALEUCAMI_INFO_WL,ゴルグス
TEXT_PLANET_SHOLA_ENCYC,自動ダメージ ( 歩兵 ) : 極度の暑さと危険な地形の影響で、 歩兵は時間がたつにつれ自動的にダメージを受ける。
TEXT_PLANET_SHOLA_INFO_ADV,極度の暑さと危険な地形の影響で、 歩兵は時間が経つにつれ自動的にダメージを受ける。
TEXT_PLANET_SHOLA_INFO_HIS,マガテッソ星系に位置するショーラは、 荒涼とした火山の惑星で、 密度の濃い大気と風景に点在する大量のマグマの流れが特徴的だ。 大規模な廃墟と深いクレバスが惑星のあちこちに散らばっているが、 そのほとんどは、 今にも爆発を起こしそうな火山や、 地震、 大量のマグマの流れのせいで未探査である。 この惑星をよく見ると、 その中心近くにまで続く鉱山のトンネル網が見える。 これは、 以前エイリアンがこの地に存在したという推測を裏付けるものである。 彼らは、 この星を現在の状態にした大規模な地殻変動により、 その命を落としたものと考えられている。 ショーラに避難しようとする者にとって、 ショーラの環境に長時間さらされるのは非常に危険である。
TEXT_PLANET_SHOLA_INFO_HIS_01,ショーラは荒涼とした火山の惑星で、 密度の濃い大気と風景に点在する大量のマグマの流れが特徴的だ。 巨大な廃墟や深いクレバスが惑星中に点在しているが、 危険な地形であることから、 そのほとんどは手付かずのまま放置されている。 この惑星をよく見ると、 その中心近くにまで続く鉱山のトンネル網が見える。 これは、 以前エイリアンがこの地に存在したという推測を裏付けるものである。 彼らは、 この星を現在の状態にした大規模な地殻変動により、 その命を落としたものと考えられている。
TEXT_PLANET_SHOLA_INFO_POP,なし、 不明 ( 絶滅 )
TEXT_PLANET_SHOLA_INFO_TAC,自動ダメージ ( 歩兵 )
TEXT_PLANET_SHOLA_INFO_TER,荒涼、 ほぼ平坦、 マグマの川
TEXT_PLANET_SHOLA_INFO_WEA,灰や砂塵を含んだ嵐
TEXT_PLANET_SHOLA_INFO_WL,マグマ・スネーク
TEXT_PLANET_SPACE_BASE_STEALTH_DESC,エンドアの重力フィールドの影響で、 宇宙ステーションは探知できない。 イーウォックが味方の軍を援助してくれる可能性がある。
TEXT_PLANET_SULLUST_ENCYC,生産費用の削減 ( コルヴェット艦 ) : ソロスーブ社が存在するため、 コルヴェットの建造費は削減される。
TEXT_PLANET_SULLUST_ENCYC_01,この惑星が支配される間は、 タータン・パトロール・クルーザーの生産費用が、 どの惑星でも 20% 安くなる。
TEXT_PLANET_SULLUST_INFO_ADV,生産費用の削減: コルヴェット艦
TEXT_PLANET_SULLUST_INFO_ADV_01,生産性の向上 ( タータン・パトロール・クルーザー )
TEXT_PLANET_SULLUST_INFO_HIS,サラスト星系内の火山の多いアウター・リムの星サラストは、 熱気を帯び、 呼吸をするのも困難な厚いガスの雲に覆われている。 この星の人々は網状の巨大地下洞窟に居住しており、 顎が長く、 ネズミのような耳と丸い目を持つヒューマノイドの現地人サラスタンが、 地下都市を作り上げ、 多くの観光客を集めている。 人気リゾートの一つであるパイリンガイシは、 温泉と緑色の泥で有名である。 巨大企業ソロスーブ社はここサラストに本社を置き、 人口の半分近くを採鉱、 梱包、 製造の各分野の労働力として雇っている。 ソロスーブ社は様々な艦船、 戦闘車両、 武器を生産しており、 その施設は小型のコルヴェットを安価に生産する力を備えている。
TEXT_PLANET_SULLUST_INFO_HIS_01,熱気を帯び、 呼吸をするのも困難な厚いガスの雲に覆われた惑星が、 サラストだ。 この星の人々は、 網状の巨大地下洞窟に居住している。 現地人サラスタンは、 そこに美しい地下都市を作り上げ、 多くの観光客を集めている。 巨大企業ソロスーブ社はここサラストに本社を置き、 人口の半分近くを採鉱、 梱包、 製造の各分野の労働力として雇っている。
TEXT_PLANET_SULLUST_INFO_POP,サラスタン
TEXT_PLANET_SULLUST_INFO_TAC,ソロスーブ社が存在するため、 コルヴェット艦の建造費は削減される。
TEXT_PLANET_SULLUST_INFO_TER,溶岩流、 火山、 地下洞窟
TEXT_PLANET_SULLUST_INFO_WEA,高温、 呼吸が困難、 降灰
TEXT_PLANET_SULLUST_INFO_WL,ドルタッシュ・グラブ
TEXT_PLANET_TARIS_ENCYC,生産費用の削減 ( すべての宇宙ユニット ) : タリスの繁栄する造船業のおかげで、 すべての船の建造費が削減される。
TEXT_PLANET_TARIS_ENCYC_01,この惑星が支配されている間は、 T2-B タンクの生産費用が、 どの惑星でも 20% 安くなる。
TEXT_PLANET_TARIS_INFO_ADV,生産費用の削減: すべての宇宙ユニット
TEXT_PLANET_TARIS_INFO_ADV_01,生産性の向上 ( T2-B タンク )
TEXT_PLANET_TARIS_INFO_HIS,アウター・リムの都市型惑星、 タリスの多くの都市は廃墟と化している。 タリスはかつてコルサントに匹敵するほどの巨大な都市惑星だった。 しかし数千年前に惑星の60億の人口は、 大規模なジェダイとシスのフォースの戦いに巻きこまれて全滅してしまったのだ。 それから数千年の時が流れ、 この惑星に再び人々が集まり始めている。 居住者はタリスの都市のいくつかを再建したが、 惑星の大部分はいまだに廃墟のままである。 歴史家たちは、 スウープ・バイクがこの地に由来するものであると考え、 惑星中の瓦礫を発掘して、 真相の解明にあたっている。 また、 この惑星には各地に原料加工センターがあり、 好況の造船業を支えるための豊富な原材料を提供している。
TEXT_PLANET_TARIS_INFO_HIS_01,フリゲートと大型艦船の移動速度が速くなる。
TEXT_PLANET_TARIS_INFO_POP,人間
TEXT_PLANET_TARIS_INFO_TAC,タリスの繁栄する造船業のおかげで、 すべての船の建造費が削減される。
TEXT_PLANET_TARIS_INFO_TER,都会
TEXT_PLANET_TARIS_INFO_WEA,晴天
TEXT_PLANET_TARIS_INFO_WL,なし
TEXT_PLANET_TATOOINE_ENCYC,警告: ハット組織が存在するため、 密輸業者とバウンティ・ハンターはこの惑星で仕事をすることができない。
